,SRX5961261,SRX3266939
moaB,123,70
moaC,74,43
moaD,19,41
moaE,85,111
ybhL,933,166
ybhM,5,0
STM0809,4,0
STM0810,24,2
ybhN,44,17
ybhO,14,0
ybhP,4,0
ybhQ,120,91
ybhR,186,3
ybhS,162,4
ybhF,324,37
STM0818,344,6
ybiH,256,0
rhlE,3792,516
dinG,2575,436
ybiB,613,150
ybiJ,398,1
ybiI,136,0
ybiN,480,31
ybiO,424,21
glnQ,648,97
glnP,416,4
glnH,845,122
dps,327,51
ybiF,257,18
ompX,15153,185
ybiP,2473,15
STM0835,64,25
ybiR,151,55
ybiS,1196,161
ybiT,2157,1610
STM0839,38,14
ybiV(2),280,0
ybiU,477,6
ybiV(1),1222,41
pflF,441,4
pflE,75,0
moeB,349,47
moeA,568,111
ybiK,195,97
yliA,332,85
yliB,204,36
yliC,75,5
yliD,206,19
yliG,1184,1063
yliH,192,22
STM0854,1,0
STM0855,5,2
STM0856,21,6
STM0857,45,14
STM0858,56,3
STM0859,69,2
STM0860,299,11
yliI,123,7
yliJ,161,72
dacC,235,189
deoR,572,11
ybjG,200,14
mdfA,191,77
STM0867,676,9
STM0868,1404,60
STM0869,546,0
STM0870,1127,303
ybjM,248,18
grxA,511,317
ybjC,74,3
mdaA,173,22
rimK,494,130
ybjN,269,15
potF,130,78
potG,59,71
potH,38,13
potI,54,75
ybjO,75,33
ybjF,519,46
STM0884,15,3
STM0885,6,0
STM0886,105,17
artJ,371,9
artM,1071,75
artQ,862,106
artI,856,74
artP,1323,531
ybjP,180,9
STM0893,0,0
STM0894,0,0
STM0895,0,0
STM0896,0,0
STM0897,0,0
STM0898,0,0
STM0898A,0,0
STM0899,0,0
STM0900,0,0
STM0901,0,0
STM0902,0,0
STM0903,0,0
STM0904,0,0
STM0905,0,0
STM0906,0,13
STM0907,0,34
STM0908,0,0
STM0909,0,0
STM0910,0,0
STM0911,0,0
STM0912,0,0
STM0913,0,0
STM0914,0,0
STM0915,0,0
STM0916,0,0
STM0917,0,0
STM0918,0,0
STM0919,0,0
STM0920,0,0
STM0921,0,0
STM0922,0,0
STM0923,0,0
STM0924,0,0
STM0925,0,0
STM0926,0,0
STM0927,0,0
nanH,0,0
STM0929,0,0
STM0930,121,12
ybjR,313,14
STM0932,370,45
ybjT,181,34
ltaA,329,76
